Timestamp,Dst,Kp,Longitude,Radius,F_res_IGRF,Spacecraft,Latitude,F_res_CHAOS,B_NEC_res_IGRF_N,B_NEC_res_IGRF_E,B_NEC_res_IGRF_C,B_NEC_res_CHAOS_N,B_NEC_res_CHAOS_E,B_NEC_res_CHAOS_C
2023-04-26 00:00:00,-42.5,2.333,-104.94350019999999,6843789.43,-8.824626661858929,A,-55.429389699999994,-2.413761717849411,-41.9800611375922,-24.210640329451053,-17.361621393782116,-7.513357883079152,-19.977265826340954,-6.153954361434444
2023-04-26 00:01:00,-42.51666933377116,2.333,-104.6919181,6843624.37,-15.385997495250194,A,-51.611634699999996,-4.1977320289333875,-45.53863534690208,-20.146575799993116,-12.851088056231674,-8.972039324095022,-16.617720020154593,-4.336991361924447
2023-04-26 00:02:00,-42.533338667498654,2.333,-104.518371,6843431.97,-23.016433977158158,A,-47.7915182,-5.872356261304958,-46.6671591615177,-17.514045350667402,-6.186699803543888,-7.864555561782254,-14.685272546540546,-1.5485359981175861
2023-04-26 00:03:00,-42.550008001269816,2.333,-104.4029924,6843210.28,-31.63000321317304,A,-43.969462,-7.651999940233509,-52.12149202202272,-14.359543816593941,-1.1049729690566892,-10.26576562002083,-12.591082784028004,-0.8405045145118493
2023-04-26 00:04:00,-42.56667733504097,2.333,-104.33192439999999,6842957.43,-39.70063702877815,A,-40.1457525,-8.853105348654935,-55.49930118320117,-8.62650610350829,5.323093600189168,-10.047317537893832,-8.579606840266024,1.6048167900880799
2023-04-26 00:05:00,-42.58334666881213,2.333,-104.2951781,6842671.69,-48.22288460894197,A,-36.3205901,-10.700868248793995,-59.166620786007115,-4.639929583361663,11.445354605875764,-10.18375551455756,-6.7578756759239695,4.095884944570571
2023-04-26 00:06:00,-42.60001600253963,2.333,-104.28534309999999,6842351.5600000005,-55.733498593763215,A,-32.4941196,-12.183933069267368,-61.50614359881729,-0.9419612470392167,17.591335775690823,-9.599912981520902,-5.330073438452018,7.099285718759347
2023-04-26 00:07:00,-42.61668533631079,2.333,-104.2967759,6841995.74,-62.29538116910044,A,-28.6664495,-13.22759261531246,-64.16301245038267,4.804830892927384,23.116305871597433,-10.32564095298585,-2.433999571977438,8.769308781969812
2023-04-26 00:08:00,-42.63335467008195,2.333,-104.3250709,6841603.25,-69.72148523182477,A,-24.8376642,-14.760348995660024,-66.72619175298314,9.685674412558,31.70459386757284,-10.692952448102005,-0.6995682446931824,12.119919000939262
2023-04-26 00:09:00,-42.650024003853105,2.333,-104.3667057,6841173.45,-78.59450006267434,A,-21.0078326,-17.23652750103429,-72.93361990667108,11.967382564814216,39.0156343682047,-13.18322376316064,-1.1749121719640243,13.809237971605398
2023-04-26 00:10:00,-42.666693337580604,2.333,-104.4187943,6840706.15,-86.2526276394965,A,-17.1770134,-18.896376044926,-81.08844394554762,18.73390924002797,45.2409278296991,-16.02213667576507,3.166426919020523,15.812715532742914
2023-04-26 00:11:00,-42.683362671351766,2.333,-104.478911,6840201.640000001,-91.96801922021405,A,-13.3452592,-20.132565902946226,-89.8618995696961,19.91166804552722,44.93504130824749,-18.90643153955898,2.2660053455811067,14.00231228717621
2023-04-26 00:12:00,-42.70003200512292,2.333,-104.5449611,6839660.7,-96.54386416977286,A,-9.512619299999999,-22.686190727286885,-99.40178209794976,23.494345816869554,39.96997352747712,-23.50738416130116,3.963719287065942,10.403117630329689
2023-04-26 00:13:00,-42.71670133889408,2.333,-104.6150814,6839084.68,-95.23294542114309,A,-5.6791411,-22.284148703547544,-102.72155324024789,28.09492284162843,28.33222989005958,-24.058495490717178,6.54171038655295,2.368240938465078
2023-04-26 00:14:00,-42.733370672621575,2.333,-104.6875609,6838475.390000001,-87.26650051282923,A,-1.8448726999999998,-18.40066028347428,-98.24347859209956,31.07788372092682,18.873518092345876,-19.81135538019589,7.583861151144447,-2.9631269162991885
2023-04-26 00:15:00,-42.75004000639274,2.333,-104.7607747,6837835.21,-77.86036753458757,A,1.9901366999999999,-15.401293071470718,-93.19978058463312,33.553131633926114,16.58332189657449,-16.922541620228003,8.491691584762975,-2.896718567332755
2023-04-26 00:16:00,-42.7667093401639,2.333,-104.8331238,6837167.0200000005,-67.34492779325956,A,5.8258348,-12.663426131584856,-87.81331525691712,38.61712252559664,15.64377853579208,-14.32386754948675,12.382375408546977,-3.4214984852769703
2023-04-26 00:17:00,-42.783378673935054,2.333,-104.9029776,6836474.18,-56.68019019557323,A,9.6621657,-9.766660121495079,-82.66388996850583,41.24423744128853,16.17884315284573,-11.203532144922065,14.52753850119143,-3.728914971490667
2023-04-26 00:18:00,-42.800048007706216,2.333,-104.9686131,6835760.55,-47.20182240580107,A,13.4990682,-7.569066538948391,-79.44255154937855,39.31125023910681,18.349949433137226,-9.509893920785544,12.946207310021236,-2.321204353185749
2023-04-26 00:19:00,-42.81671734143371,2.333,-105.0281483,6835030.48,-39.11640497368717,A,17.336475099999998,-5.555646227410762,-77.38374548164575,39.666676034469674,19.451483827615448,-8.135273775082169,14.920300694576326,-1.490211257696501
2023-04-26 00:20:00,-42.83338667520487,2.333,-105.0794602,6834288.72,-34.581809770512336,A,21.1743114,-4.320004547284043,-76.3332212121386,32.39068256980681,17.92511347153777,-8.874226183525025,12.042818167017685,0.7741633341975103
2023-04-26 00:21:00,-42.85005600897603,2.333,-105.12008399999999,6833540.390000001,-27.39807880990702,A,25.0124924,-2.861424110189546,-70.7289237613586,25.912014059523244,16.84127126554813,-9.896589602292806,9.470513665660292,3.0653727700409945
2023-04-26 00:22:00,-42.86672534274719,2.333,-105.1470799,6832790.95,-15.53470113548974,A,28.8509209,-0.714243353184429,-60.761721209812094,25.7936893258302,19.23196023079072,-9.428924185467622,10.163668180364766,4.627404230512184
2023-04-26 00:23:00,-42.88339467647469,2.333,-105.15684999999999,6832046.15,-1.3000175743873115,A,32.6894831,1.5765304713640944,-54.93136651963141,23.312644811046084,28.209472629452648,-9.101671067375719,8.838462975792936,6.548530805390328
2023-04-26 00:24:00,-42.90006401024584,2.333,-105.1448829,6831311.91,4.600292011062265,A,36.5280438,3.703799107679515,-56.8158558581672,17.658802375403866,32.124940090667224,-10.675287280046177,7.790951287353437,9.041796126111876
2023-04-26 00:25:00,-42.916733344017004,2.333,-105.1053828,6830594.21,8.787980559085554,A,40.3664366,5.841620866325684,-55.38556892831912,13.019576928697006,32.6142313619348,-13.821331388598992,10.273609215713122,11.846540175967675
2023-04-26 00:26:00,-42.933402677788166,2.333,-105.0307168,6829899.0200000005,17.967851397013874,A,44.2044516,7.184632965429046,-50.955881969937764,8.807706286621169,37.558903429504426,-19.222384590637375,12.939593452580539,14.19575230852206
2023-04-26 00:27:00,-42.95007201151566,2.333,-104.9105622,6829232.390000001,29.754196633250103,A,48.041815299999996,8.869021935402998,-51.45231797676752,6.981358618455715,47.282878622783755,-27.057264689285148,15.030073703928338,17.359402050671633
2023-04-26 00:28:00,-42.96674134528682,2.333,-104.7305445,6828600.3,43.16198863844329,A,51.8781598,10.281124186607485,-58.921133524141624,1.4883932639345403,60.40398084655317,-36.944340926336736,12.404500422844876,20.117746911855647
2023-04-26 00:29:00,-42.983410679057975,2.333,-104.4699684,6828008.63,45.737498145936115,A,55.7129701,6.486431025172351,-91.81457595433312,23.9505019338319,66.5489265832075,-71.02663886561459,36.13998730930257,21.352893667615717
2023-04-26 00:30:00,-42.99984001274482,2.333,-104.0978471,6827463.0200000005,25.185479206513264,A,59.5454923,-21.246139567963837,-145.0975693394539,68.93798589957419,50.14435290405527,-123.37813229745188,81.1121169938333,-1.2858472111111041
2023-04-26 00:31:00,-42.966509345931215,2.333,-103.565533,6826968.76,-45.208631958346814,A,63.374561099999994,-94.92147461427521,-293.365219581352,260.1971965308302,-8.952189194395032,-269.3372179203434,272.9453414604934,-62.898348921931756
2023-04-26 00:32:00,-42.933178679030306,2.333,-102.7920061,6826530.59,-69.53892035123135,A,67.1982548,-116.37750103638245,-101.67489814465443,-130.954594695048,-57.336618920759065,-76.7211501034626,-116.05337096652693,-107.44867094820802
2023-04-26 00:33:00,-42.899848012129404,2.333,-101.63165629999999,6826152.68,-45.540937534780824,A,71.013136,-87.14533205539192,-40.67040653271306,-166.20289803349002,-42.012099006125936,-16.56036226230208,-149.31058672917274,-85.87057174091751
2023-04-26 00:34:00,-42.866517345228495,2.333,-99.7945603,6825838.5200000005,-23.077372672283673,A,74.8123603,-58.59902692936885,11.501182649844395,-171.28601269448535,-24.940920750639634,27.97526040186949,-154.7623068295593,-61.46548404355417
2023-04-26 00:35:00,-42.8331866784149,2.333,-96.61301399999999,6825590.94,3.2144187554440578,A,78.5800683,-31.791223962325603,18.08582813135422,-150.52160902701883,0.302393054960703,23.029142844750822,-132.8227960590724,-34.71133866940363
2023-04-26 00:36:00,-42.79985601151399,2.333,-90.1671149,6825412.140000001,35.19435816846817,A,82.2697787,-7.8079917305731215,30.54116865258652,-139.53003155394777,31.205646230329876,24.54507429178193,-117.13980100209415,-11.160319637419889
2023-04-26 00:37:00,-42.76652534461308,2.333,-72.5820296,6825303.68,58.79878040304902,A,85.676605,14.086679760999687,44.18420448927009,-111.2812480871844,54.547890810557874,37.49485246546874,-85.57259586169243,10.711744376989373
2023-04-26 00:38:00,-42.73319467771218,2.333,-11.3519974,6825266.49,69.95167111991759,A,87.31245369999999,36.004328075381636,89.22178020385445,-31.799539775861945,65.65863777922641,69.08511312070868,-25.37132129842854,32.67556168457668
2023-04-26 00:39:00,-42.69986401089857,2.333,37.4000506,6825300.87,95.87568298697443,A,84.9650726,64.91063250062143,57.62588548400163,50.319615496405504,91.64771273762744,47.70455713771298,36.00499481572433,61.56405017086945
2023-04-26 00:40:00,-42.66653334399766,2.333,50.9223767,6825406.44,138.1914096684559,A,81.45166139999999,105.44246188824764,60.07120694794003,0.5476206541950432,134.6433019288088,59.63916543339792,-18.259983576129116,102.56217414465937
2023-04-26 00:41:00,-42.63320267709676,2.333,56.3166954,6825582.21,153.4327206949456,A,77.7365512,117.77368759769888,-9.388377660295191,-171.23676153887277,162.90531163057312,-6.88719736062103,-192.02892884895687,127.82118089444702
2023-04-26 00:42:00,-42.59987201019585,2.333,59.099002299999995,6825826.5200000005,110.51434372585936,A,73.9593603,76.04534769654856,25.093993827857958,-226.01507652144028,119.92558850046044,25.891295706500387,-244.24268623576563,86.05281511913927
2023-04-26 00:43:00,-42.566541343382255,2.333,60.7453788,6826137.01,42.957927237657714,A,70.1555992,14.101976999656472,61.680662447767645,-74.3893872421977,38.99873107716121,62.3862333014622,-88.95428718619632,10.525806665995333
2023-04-26 00:44:00,-42.533210676481346,2.333,61.8005468,6826510.61,4.8956702800351195,A,66.3381796,-17.80502334371704,13.63677668227956,2.8138261427370708,2.665628210277646,15.222068727252918,-10.105038719041659,-19.93923213216476
2023-04-26 00:45:00,-42.49988000958044,2.333,62.5101502,6826943.58,-0.2887315375264734,A,62.5128991,-15.473318017619022,0.43328628965537064,23.027879969908554,-1.53255935224297,3.147151066794322,12.18597682444306,-17.01347312387952
2023-04-26 00:46:00,-42.466549342679535,2.333,63.0008153,6827431.72,-5.034145236546465,A,58.6827511,-9.150749902764801,-4.69713504246829,24.915792388485897,-5.270226405242283,0.34332478807118605,17.3811925232676,-10.365900782431709
2023-04-26 00:47:00,-42.43321867586593,2.333,63.344353,6827970.34,-9.033995674435573,A,54.8494442,-4.32074412341899,-8.469708137008638,19.56919797133014,-7.7937742574940785,-2.47845577118278,12.828660499317266,-4.288561853703868
2023-04-26 00:48:00,-42.39988800896502,2.333,63.584514299999995,6828554.41,-17.665735718495853,A,51.0140311,-2.0924444178162958,-9.10588751274554,13.64939558039623,-16.043272652132146,-1.9259227175007254,7.552039988022898,-1.705532989326457
2023-04-26 00:49:00,-42.36655734206412,2.333,63.7494902,6829178.600000001,-28.342989656295686,A,47.1772019,-1.0690353142927052,-10.655087669183558,10.141375294586851,-26.642691715802357,-0.9031903814357065,5.932516014419889,-0.8831538615340833
2023-04-26 00:50:00,-42.33322667516321,2.333,63.8582871,6829837.3100000005,-37.30518881669559,A,43.3394322,-0.2864034970116336,-13.51051603000451,6.141328381819449,-35.109121101981145,-0.9328450314824295,5.286674717203141,0.08566874842654215
2023-04-26 00:51:00,-42.299896008349606,2.333,63.9242114,6830524.7,-49.96185873392824,A,39.5010645,-0.009296962285588961,-19.261652144745312,1.020395775272391,-46.635518285955186,-1.9011039154829632,3.8831741040719407,1.0510866661788896
2023-04-26 00:52:00,-42.266565341448704,2.333,63.9568848,6831234.7,-61.37206071343098,A,35.6623556,-0.02451491005922435,-24.853443887008325,0.056714211118105595,-57.510163968887355,-2.9959438888654404,3.5253565429086393,2.0104167506142403
2023-04-26 00:53:00,-42.233234674547795,2.333,63.9634666,6831961.04,-76.63160909398721,A,31.8235055,-0.18542205476842355,-37.45044702793166,1.2588066401322067,-68.69061041966779,-3.1761264786582615,3.859887961247523,2.343152609650133
2023-04-26 00:54:00,-42.19990400764689,2.333,63.9494237,6832697.57,-81.4828260676295,A,27.984676399999998,-0.24136804846784798,-44.45388385118349,3.589413801823639,-71.10056020680713,-3.066893109913508,4.639244874888163,2.8542333250807133
2023-04-26 00:55:00,-42.16657334083329,2.333,63.9190354,6833438.5,-88.31466946840374,A,24.1460018,0.037510315247345716,-51.78678324994689,6.3212819987036255,-77.08451397227327,-2.4566933250171132,4.141970543466414,3.4754577936328133
2023-04-26 00:56:00,-42.13324267393238,2.333,63.875732899999996,6834178.37,-91.05108560468216,A,20.3075938,0.46082289047626546,-58.62774088929655,9.554405122644852,-79.19258193366841,-1.565422429535829,3.9337358402852374,3.9104252905090107
2023-04-26 00:57:00,-42.09991200703148,2.333,63.822335499999994,6834911.94,-90.54685222068292,A,16.4695479,0.36339861540545826,-63.74155542336666,13.113246981478213,-80.83275638741725,-1.1441234888516192,3.455164089684004,4.417513801397945
2023-04-26 00:58:00,-42.06658134013057,2.333,63.7612199,6835634.2700000005,-89.0747028616388,A,12.631947799999999,0.3928378581913421,-70.00435632652807,15.291379415945755,-83.09514556792419,-0.36902478737101774,2.5472638303972985,4.5364489069042975
2023-04-26 00:59:00,-42.033250673316964,2.333,63.6944458,6836340.8100000005,-82.26831553389275,A,8.7948674,1.701954782638495,-74.03330720435406,16.93692472164753,-82.28866726258411,1.6761103854514658,2.2582572542474963,4.582584987338123
2023-04-26 01:00:00,-41.99992000641606,2.333,63.623852299999996,6837027.36,-73.44276762429581,A,4.9583731,1.5596269726556784,-78.3582760545687,16.878114943872333,-83.42147926907364,1.9367655800306238,1.404460329597896,1.827863857412467
2023-04-26 01:01:00,-41.96658933951515,2.333,63.5511354,6837690.15,-63.3615353810128,A,1.1225252,0.00045227910595713183,-83.07057595974402,17.250960920806392,-82.12153041306192,0.3956391057581641,1.698120803173424,0.8013896416159696
2023-04-26 01:02:00,-41.93325867261425,2.333,63.477913199999996,6838325.9,-50.741320983910555,A,-2.7126205,-0.3555023917579092,-85.78210117209528,17.220897576798507,-80.11524817890313,-0.0542370150469651,1.5903780279704733,0.5328708612123592
2023-04-26 01:03:00,-41.89992800571334,2.333,63.405785099999996,6838931.8100000005,-38.082928330077266,A,-6.5470124,0.1403263982210774,-87.65664909768748,18.55953810997289,-77.6520037607097,0.5728710261719243,2.0548691443004827,0.3701799387108622
2023-04-26 01:04:00,-41.86659733889974,2.333,63.336389499999996,6839505.5200000005,-28.634284527819545,A,-10.3806011,0.6549075653711043,-90.7375762163174,20.484125773520645,-73.44476947002477,0.9913149916501425,2.2779990972280757,-0.19732302919510403
2023-04-26 01:05:00,-41.833266671998835,2.333,63.2714656,6840045.16,-21.84790538314337,A,-14.2133381,0.7374855693378777,-92.18800693461162,21.63011603700579,-65.98511482460526,0.9157417286005511,1.9358848897863936,-0.5400068444687349
2023-04-26 01:06:00,-41.799936005097926,2.333,63.212921599999994,6840549.36,-16.49043674639688,A,-18.045174799999998,0.8755620238298434,-91.34427396140381,22.030946937558838,-57.6289401236354,1.0010013542123488,1.4139880350585372,-0.6434316252489225
2023-04-26 01:07:00,-41.76660533819702,2.333,63.162918,6841017.3100000005,-11.458135587861761,A,-21.8760604,0.9765150562743656,-87.00929094979801,22.954195465586963,-49.72564651571156,1.530239828334743,1.6989231180505158,-0.5985067184265063
2023-04-26 01:08:00,-41.73327467138342,2.333,63.123972099999996,6841448.7,-6.204009126122401,A,-25.7059402,0.9073109162636683,-80.20087540725581,23.496267389788954,-43.580828929934796,2.275675638255052,2.1287852277273487,-0.3238844033512578
